action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,Insoluble,312396,[],CHEMBL764355,Inhibition of bovine heart cAMP-phosphodiesterase (Insoluble),B,,,BAO_0000190,BAO_0000224,protein format,CC(C)C1C(=O)N(CC2CC2)c2sc3ccccc3[n+]2C1=O,,,CHEMBL1121649,J Med Chem,1981,,CHEMBL165046,,CHEMBL165046,,0,http://www.openphacts.org/units/Nanomolar,323877,,1,0,,,IC50,nM,,,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,
,,313680,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,CCC1C(=O)N(CC2CC2)c2sc3ccccc3[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121649,J Med Chem,1981,,CHEMBL165019,,CHEMBL165019,,0,http://www.openphacts.org/units/Nanomolar,323864,=,1,1,=,,IC50,nM,,163000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,163.0
,,319857,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,CCN1C(=O)CC(=O)[n+]2c1sc1ccccc12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121649,J Med Chem,1981,,CHEMBL165009,,CHEMBL165009,,0,http://www.openphacts.org/units/Nanomolar,323862,=,1,1,=,,IC50,nM,,323000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,323.0
,Insoluble,322312,[],CHEMBL764355,Inhibition of bovine heart cAMP-phosphodiesterase (Insoluble),B,,,BAO_0000190,BAO_0000224,protein format,COC(=O)c1cc(=O)n2c(sc3ccccc32)c1C(=O)OC,,,CHEMBL1121649,J Med Chem,1981,,CHEMBL440549,,CHEMBL440549,,0,http://www.openphacts.org/units/Nanomolar,323867,,1,0,,,IC50,nM,,,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,
,,323711,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,CCC1C(=O)N(CC2CCCCC2)c2sc3ccccc3[n+]2C1=O,,,CHEMBL1121649,J Med Chem,1981,"{'bei': '13.01', 'le': '0.25', 'lle': '0.69', 'sei': '10.83'}",CHEMBL350705,,CHEMBL350705,4.47,0,http://www.openphacts.org/units/Nanomolar,323873,=,1,1,=,,IC50,nM,,34000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,34.0
,,328797,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,CCC1C(=O)N(CC(C)C)c2sc3ccccc3[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121649,J Med Chem,1981,,CHEMBL349257,,CHEMBL349257,,0,http://www.openphacts.org/units/Nanomolar,323881,=,1,1,=,,IC50,nM,,255000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,255.0
,,328799,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,CCC1C(=O)N(CC2CCC2)c2sc3ccccc3[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121649,J Med Chem,1981,,CHEMBL167091,,CHEMBL167091,,0,http://www.openphacts.org/units/Nanomolar,323875,=,1,1,=,,IC50,nM,,167000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,167.0
,Insoluble,335320,[],CHEMBL764355,Inhibition of bovine heart cAMP-phosphodiesterase (Insoluble),B,,,BAO_0000190,BAO_0000224,protein format,CCC1C(=O)N(CC2CC2)c2sc3cc(C)c(C)cc3[n+]2C1=O,,,CHEMBL1121649,J Med Chem,1981,,CHEMBL165421,,CHEMBL165421,,0,http://www.openphacts.org/units/Nanomolar,323866,,1,0,,,IC50,nM,,,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,
,,339086,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,CCOc1ccc2c(c1)sc1[n+]2C(=O)C(CC)C(=O)N1CC1CC1,,,CHEMBL1121649,J Med Chem,1981,"{'bei': '12.05', 'le': '0.24', 'lle': '1.15', 'sei': '8.24'}",CHEMBL164128,,CHEMBL164128,4.16,0,http://www.openphacts.org/units/Nanomolar,323876,=,1,1,=,,IC50,nM,,69000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,69.0
,,339088,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121649,J Med Chem,1981,,CHEMBL190,THEOPHYLLINE,CHEMBL190,,1,http://www.openphacts.org/units/Nanomolar,323869,=,1,1,=,,IC50,nM,,412000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,412.0
